2021-02-01 11:02:52 status unpacked base-files:arm64 11ubuntu5
2021-02-01 11:02:52 status half-configured base-files:arm64 11ubuntu5
2021-02-01 11:02:52 status installed base-files:arm64 11ubuntu5
2021-02-01 11:02:52 configure libbz2-1.0:arm64 1.0.8-2 <none>
2021-02-01 11:02:52 status unpacked libbz2-1.0:arm64 1.0.8-2
2021-02-01 11:02:52 status half-configured libbz2-1.0:arm64 1.0.8-2
2021-02-01 11:02:52 status installed libbz2-1.0:arm64 1.0.8-2
2021-02-01 11:02:52 configure base-passwd:arm64 3.5.47 <none>
2021-02-01 11:02:52 status unpacked base-passwd:arm64 3.5.47
2021-02-01 11:02:52 status half-configured base-passwd:arm64 3.5.47
2021-02-01 11:02:53 status installed base-passwd:arm64 3.5.47
2021-02-01 11:02:53 configure libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2 <none>
2021-02-01 11:02:53 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2021-02-01 11:02:53 status half-configured libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2021-02-01 11:02:53 status installed libdb5.3:arm64 5.3.28+dfsg1-0.6ubuntu2
2021-02-01 11:02:53 configure libblkid1:arm64 2.34-0.1ubuntu9 <none>
